predicted_fraction,error_value,error_rate,stretch
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,2.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,2.0
0.0312,0.2,1.0,1.0
0.0312,0.2,1.0,1.0
0.0625,0.2,0.75,1.1666666666666667
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,0.75,1.5
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.25
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.5
0.0625,0.2,1.0,1.25
0.0625,0.2,1.0,1.1666666666666667
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.5
0.0625,0.2,1.0,1.25
0.0625,0.2,0.5,1.0
0.0625,0.2,0.75,1.25
0.0625,0.2,1.0,1.1666666666666667
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.5
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.25
0.0625,0.2,0.75,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,0.75,1.25
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.4166666666666667
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.1666666666666667
0.0625,0.2,1.0,1.25
0.0625,0.2,1.0,1.1666666666666667
0.0625,0.2,1.0,1.25
0.0625,0.2,0.5,1.25
0.0625,0.2,1.0,1.5
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,1.0,1.0
0.0625,0.2,0.75,1.5
0.0625,0.2,1.0,1.5
0.0625,0.2,1.0,1.25
0.0625,0.2,0.75,1.4166666666666667
0.0625,0.2,0.75,1.0
0.0625,0.2,1.0,1.0
0.125,0.2,0.88,1.0
0.125,0.2,1.0,1.125
0.125,0.2,0.88,1.2083333333333335
0.125,0.2,0.62,1.0
0.125,0.2,1.0,1.0
0.125,0.2,0.88,1.5833333333333335
0.125,0.2,1.0,1.5
0.125,0.2,0.62,1.0
0.125,0.2,0.88,1.0
0.125,0.2,0.88,1.0833333333333335
0.125,0.2,1.0,1.0
0.125,0.2,0.88,1.25
0.125,0.2,0.62,1.25
0.125,0.2,1.0,1.125
0.125,0.2,0.88,1.25
0.125,0.2,0.75,1.0
0.125,0.2,0.88,1.125
0.125,0.2,0.88,1.2083333333333335
0.125,0.2,1.0,1.375
0.125,0.2,1.0,1.0833333333333335
0.125,0.2,1.0,1.2916666666666667
0.125,0.2,1.0,1.25
0.125,0.2,0.75,1.0
0.125,0.2,0.88,1.4166666666666667
0.125,0.2,0.88,1.125
0.125,0.2,1.0,1.0
0.125,0.2,0.75,1.0625
0.125,0.2,0.88,1.0833333333333335
0.125,0.2,0.88,1.25
0.125,0.2,0.88,1.0
0.125,0.2,1.0,1.0833333333333335
0.125,0.2,0.88,1.125
0.125,0.2,1.0,1.125
0.125,0.2,0.88,1.125
0.125,0.2,0.88,1.25
0.125,0.2,1.0,1.1875
0.125,0.2,1.0,1.125
0.125,0.2,1.0,1.25
0.125,0.2,0.88,1.0
0.125,0.2,0.88,1.125
0.125,0.2,0.62,1.25
0.125,0.2,1.0,1.0
0.125,0.2,0.75,1.0833333333333335
0.125,0.2,0.75,1.0
0.125,0.2,0.88,1.125
0.125,0.2,1.0,1.125
0.125,0.2,0.75,1.25
0.125,0.2,0.62,1.0625
0.125,0.2,0.62,1.2916666666666667
0.125,0.2,0.75,1.0
0.25,0.2,0.75,1.125
0.25,0.2,0.56,1.2291666666666667
0.25,0.2,0.81,1.0625
0.25,0.2,0.81,1.0416666666666667
0.25,0.2,0.88,1.0625
0.25,0.2,0.75,1.125
0.25,0.2,0.62,1.125
0.25,0.2,0.62,1.1041666666666665
0.25,0.2,0.75,1.125
0.25,0.2,0.69,1.1666666666666665
0.25,0.2,0.75,1.3541666666666665
0.25,0.2,0.62,1.0
0.25,0.2,0.94,1.4166666666666665
0.25,0.2,0.75,1.0625
0.25,0.2,0.81,1.1666666666666665
0.25,0.2,0.94,1.125
0.25,0.2,0.5,1.09375
0.25,0.2,0.56,1.1666666666666667
0.25,0.2,0.69,1.1041666666666667
0.25,0.2,0.88,1.2291666666666665
0.25,0.2,0.81,1.1666666666666665
0.25,0.2,0.81,1.2291666666666667
0.25,0.2,0.62,1.3125
0.25,0.2,0.81,1.0
0.25,0.2,0.88,1.1875
0.25,0.2,0.62,1.2291666666666665
0.25,0.2,0.62,1.03125
0.25,0.2,0.81,1.1666666666666667
0.25,0.2,0.75,1.0416666666666667
0.25,0.2,0.81,1.0625
0.25,0.2,0.81,1.1666666666666667
0.25,0.2,0.69,1.125
0.25,0.2,0.88,1.2708333333333333
0.25,0.2,0.75,1.1041666666666667
0.25,0.2,0.69,1.0
0.25,0.2,0.94,1.0625
0.25,0.2,0.81,1.0
0.25,0.2,0.81,1.0833333333333335
0.25,0.2,0.62,1.1666666666666665
0.25,0.2,0.75,1.2291666666666667
0.25,0.2,0.69,1.0
0.25,0.2,0.81,1.0
0.25,0.2,0.81,1.2916666666666665
0.25,0.2,0.69,1.1875
0.25,0.2,0.69,1.125
0.25,0.2,0.75,1.125
0.25,0.2,0.56,1.1875
0.25,0.2,0.5,1.3125
0.25,0.2,0.75,1.0
0.25,0.2,0.81,1.0625
0.5,0.2,0.41,1.1666666666666667
0.5,0.2,0.5,1.21875
0.5,0.2,0.56,1.09375
0.5,0.2,0.31,1.203125
0.5,0.2,0.56,1.1354166666666667
0.5,0.2,0.44,1.2395833333333335
0.5,0.2,0.44,1.0625
0.5,0.2,0.56,1.0729166666666667
0.5,0.2,0.5,1.0364583333333333
0.5,0.2,0.69,1.1770833333333335
0.5,0.2,0.47,1.0
0.5,0.2,0.41,1.1875
0.5,0.2,0.53,1.1927083333333335
0.5,0.2,0.53,1.09375
0.5,0.2,0.53,1.15625
0.5,0.2,0.56,1.2552083333333335
0.5,0.2,0.56,1.09375
0.5,0.2,0.56,1.1875
0.5,0.2,0.56,1.1666666666666667
0.5,0.2,0.47,1.2604166666666667
0.5,0.2,0.47,1.15625
0.5,0.2,0.41,1.1770833333333335
0.5,0.2,0.59,1.046875
0.5,0.2,0.34,1.125
0.5,0.2,0.5,1.0520833333333333
0.5,0.2,0.31,1.1354166666666667
0.5,0.2,0.62,1.15625
0.5,0.2,0.56,1.09375
0.5,0.2,0.44,1.1875
0.5,0.2,0.41,1.125
0.5,0.2,0.56,1.2083333333333335
0.5,0.2,0.47,1.1354166666666667
0.5,0.2,0.62,1.0625
0.5,0.2,0.53,1.1875
0.5,0.2,0.44,1.0625
0.5,0.2,0.66,1.09375
0.5,0.2,0.66,1.09375
0.5,0.2,0.38,1.0729166666666665
0.5,0.2,0.53,1.125
0.5,0.2,0.44,1.0625
0.5,0.2,0.62,1.0677083333333333
0.5,0.2,0.41,1.0625
0.5,0.2,0.34,1.2187499999999998
0.5,0.2,0.44,1.1145833333333333
0.5,0.2,0.34,1.1666666666666665
0.5,0.2,0.44,1.1666666666666665
0.5,0.2,0.5,1.203125
0.5,0.2,0.5,1.2395833333333335
0.5,0.2,0.5,1.171875
0.5,0.2,0.53,1.03125
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,0.0,1.0
0.0312,0.3,1.0,1.6666666666666667
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,2.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,1.0
0.0312,0.3,1.0,2.0
0.0312,0.3,1.0,1.0
